time_local_15m,ahu_2_air_damper_mode_sp,ahu_2_air_discharge_enable_cmd,ahu_2_air_discharge_enable_sensor,ahu_2_air_discharge_mode_sp,ahu_2_air_discharge_temp_sensor,ahu_2_air_discharge_temp_sensor_cooling,ahu_2_air_discharge_temp_sensor_heating,ahu_2_air_discharge_temp_sp_cooling,ahu_2_air_discharge_temp_sp_heating,ahu_2_air_discharge_temp_sp_high,ahu_2_air_discharge_temp_sp_low,ahu_2_air_return_temp_sp_cooling,ahu_2_air_return_temp_sp_heating,ahu_2_chilled_water_valve_sp_percent,ahu_2_enable_cmd,ahu_2_fan_air_discharge_delta_pressure_sensor,ahu_2_fan_air_discharge_flow_sensor_percent,ahu_2_fan_air_discharge_pressure_sensor,ahu_2_fan_air_discharge_pressure_sp_high,ahu_2_fan_air_discharge_pressure_sp_low,ahu_2_hot_water_valve_sp_percent,ahu_2_outside_air_damper_cmd,ahu_2_outside_air_temp_sensor,weather_outside_air_temp
2026-08-03 10:45:00,2,0,0,2,26.224349975586,26.5,26.3849992752075,23,21,30,10,26.8699989318848,26.8749990463257,0,1,4.12386131286621,0,150,150,150,0,0,25.6587657928467,25.5175
2026-08-03 11:00:00,2,0,0,2,26.3426113128662,26.5,26.3699989318848,23,21,30,10,26.8699989318848,26.8499984741211,0,1,4.1213264465332,0,150,150,150,0,0,25.5826320648193,26.22
2026-08-03 11:15:00,2,0,0,2,26.3370304107667,26.4849996566773,26.3249998092652,23,21,30,10,26.8449993133545,26.8149995803833,0,1,4.12466049194336,0,150,150,150,0,0,25.5267724990845,26.9225
2026-08-03 11:30:00,2,0,0,2,26.3004131317139,26.4699993133545,26.2999992370605,23,21,30,10,26.8299999237061,26.7899990081787,0,1,4.12339496612549,0,150,150,150,0,0,25.4909191131592,27.625
2026-08-03 11:45:00,2,0,0,2,26.211353302002,26.4699993133545,26.2849988937378,23,21,30,10,26.8199996948243,26.7699995040894,0,1,3.61307013034821,0,150,150,150,0,0,25.491515159607,28.3275
2026-08-03 12:00:00,2,0,0,2,26.1694030761719,26.4499988555908,26.269998550415,23,21,30,10,26.7999992370605,26.75,0,1,4.12428140640259,0,150,150,150,0,0,25.4661235809326,29.03
2026-08-03 12:15:00,2,0,0,2,26.1160459518433,26.439998626709,26.2550001144409,23,21,30,10,26.7549991607666,26.7249994277954,0,1,4.12565302848816,0,132,132,132,0,0,25.4641780853272,28.6675
2026-08-03 12:30:00,2,0,0,2,26.0752582550049,26.4499988555908,26.25,23,21,30,10,26.6299991607666,26.6999988555908,0,1,4.13002920150757,0,132,132,132,0,0,25.4660663604736,28.305
2026-08-03 12:45:00,2,0,0,2,25.9857683181763,26.439998626709,26.2399997711182,23,21,30,10,26.4649991989136,26.7149991989136,0,1,1.59629195928574,0,50,50,50,0,0,25.5644483566284,27.9425
2026-08-03 13:00:00,2,0,0,2,25.9516296386719,26.4200000762939,26.2299995422363,23,21,30,10,26.2600002288818,26.7099990844727,0,1,1.48079800605774,0,50,50,50,0,0,25.614933013916,27.58
2026-08-03 13:15:00,2,0,0,2,25.9224872589112,26.359998703003,26.2399997711182,23,21,30,10,26.1149997711182,26.7099990844727,0,1,2.093705534935,0,50,50,50,0,0,25.7026128768921,27.215
2026-08-03 13:30:00,2,0,0,2,25.9225082397461,26.3099994659424,26.25,23,21,30,10,26.0799999237061,26.7099990844727,0,1,1.48292875289917,0,50,50,50,0,0,25.7422332763672,26.85
2026-08-03 13:45:00,2,0,0,2,25.9728202819824,26.2549991607666,26.2349996566773,23,21,30,10,25.8649988174439,26.6949987411499,0,1,4.12330555915833,0,138,138,138,0,0,25.6674852371216,26.485
2026-08-03 14:00:00,2,0,0,2,25.9888820648193,26.1999988555908,26.2299995422363,23,21,30,10,25.7600002288818,26.6800003051758,0,1,4.1226806640625,0,138,138,138,0,0,25.6143608093262,26.12
2026-08-03 14:15:00,2,0,0,2,25.9810295104981,26.1549997329712,26.2299995422363,23,21,30,10,25.6149997711182,26.6599998474121,0,1,4.12273383140564,0,144,144,144,0,0,25.5781202316284,25.7575
2026-08-03 14:30:00,2,0,0,2,25.9704170227051,26.1099987030029,26.2199993133545,23,21,30,10,25.4099998474121,26.6499996185303,0,1,4.12400388717651,0,144,144,144,0,0,25.5523509979248,25.395
2026-08-03 14:45:00,2,0,0,2,25.8484249114991,26.0599994659424,26.2249994277955,23,21,30,10,25.3299989700317,26.664999961853,0,0,1.476189494133,0,144,144,144,0,0,25.8741464614868,25.0325
2026-08-03 15:00:00,2,0,0,2,25.8136425018311,26.0100002288818,26.2399997711182,23,21,30,10,25.2899990081787,26.6800003051758,0,0,1.47680151462555,0,144,144,144,0,0,26.2103424072266,24.67
2026-08-03 15:15:00,2,0,0,2,25.8244352340699,25.9799995422364,26.2600002288818,23,21,30,10,25.1699991226197,26.7249994277955,0,0,1.47952514886856,0,150,150,150,0,0,26.3300561904907,24.835
2026-08-03 15:30:00,2,0,0,2,25.8238182067871,25.9599990844727,26.269998550415,23,21,30,10,25.1000003814697,26.769998550415,0,0,1.47671175003052,0,150,150,150,0,0,26.3949432373047,25
2026-08-03 15:45:00,2,0,0,2,25.8295440673828,25.9049987792969,26.2600002288818,23,21,30,10,25.1099996566773,26.7849988937378,0,0,1.47681212425232,0,150,150,150,0,0,26.4605379104615,25.165
2026-08-03 16:00:00,2,0,0,2,25.8394794464111,25.8599987030029,26.2999992370605,23,21,30,10,25.1299991607666,26.7999992370605,0,0,1.4780809879303,0,150,150,150,0,0,26.4998092651367,25.33
2026-08-03 16:15:00,2,0,0,2,25.8265638351441,25.8999996185303,26.2849988937378,23,21,30,10,25.1099996566773,26.7999992370605,0,0,1.47841060161591,0,150,150,150,0,0,26.5597496032715,25.4975
2026-08-03 16:30:00,2,0,0,2,25.8253402709961,25.8199996948242,26.2899990081787,23,21,30,10,25.1099987030029,26.8099994659424,0,0,1.48022282123566,0,150,150,150,0,0,26.5841751098633,25.665
2026-08-03 16:45:00,2,0,0,2,25.8763685226441,25.859998703003,26.2999992370605,23,21,30,10,25.0649995803833,26.8249998092652,0,0,1.47742050886155,0,138,138,138,0,0,26.4631633758545,25.8325
2026-08-03 17:00:00,2,0,0,2,25.8973598480225,25.8199996948242,26.3099994659424,23,21,30,10,25.0299987792969,26.8199996948242,0,0,1.47822046279907,0,138,138,138,0,0,26.399019241333,26
2026-08-03 17:15:00,2,0,0,2,25.9082365036011,25.8199996948243,26.3099994659424,23,21,30,10,25.1199989318848,26.8299999237061,0,0,1.7454794049263,0,138,138,138,0,0,26.3371829986572,26.165
2026-08-03 17:30:00,2,0,0,2,25.9141845703125,25.7899990081787,26.3199996948242,23,21,30,10,25.1199989318848,26.8400001525879,0,0,1.47752571105957,0,138,138,138,0,0,26.2868022918701,26.33
2026-08-03 17:45:00,2,0,0,2,25.9279794692993,25.7599992752075,26.3149995803833,23,21,30,10,25.1249990463257,26.8449993133545,0,0,1.47800391912461,0,114,114,114,0,0,26.2307147979737,26.495
2026-08-03 18:00:00,2,0,0,2,25.930908203125,25.7099990844727,26.3199996948242,23,21,30,10,25.1499996185303,26.8499984741211,0,0,1.97269582748413,0,114,114,114,0,0,26.1901168823242,26.66
2026-08-03 18:15:00,2,0,0,2,25.9786777496338,25.7649993896484,26.3199996948242,23,21,30,10,25.164999961853,26.8399991989136,0,0,1.51036626100541,0,114,114,114,0,0,26.0808172225953,26.62
2026-08-03 18:30:00,2,0,0,2,26.0022144317627,25.7600002288818,26.3199996948242,23,21,30,10,25.2299995422363,26.8499984741211,0,0,1.58723211288452,0,114,114,114,0,0,26.0085792541504,26.58
2026-08-03 18:45:00,2,0,0,2,26.0515480041504,25.7349996566773,26.3299999237061,23,21,30,10,25.1799993515015,26.854998588562,0,0,1.49587523937226,0,50,50,50,0,0,25.9214897155762,26.54
2026-08-03 19:00:00,2,0,0,2,26.0753574371338,25.769998550415,26.3199996948242,23,21,30,10,25.2099990844727,26.8499984741211,0,0,1.49212241172791,0,50,50,50,0,0,25.8509750366211,26.5
2026-08-03 19:15:00,2,0,0,2,26.1153135299683,25.6849994659424,26.3199996948242,23,21,30,10,25.2399997711182,26.8499984741211,0,0,1.4841474890709,0,50,50,50,0,0,25.8094167709351,26.46
2026-08-03 19:30:00,2,0,0,2,26.1657123565674,25.6800003051758,26.3199996948242,23,21,30,10,25.25,26.8599987030029,0,0,1.47742319107056,0,50,50,50,0,0,25.7404117584229,26.42
2026-08-03 19:45:00,2,0,0,2,26.1934671401978,25.6849994659424,26.3249998092652,23,21,30,10,25.2899990081787,26.8599987030029,0,0,1.48168605566025,0,50,50,50,0,0,25.7041997909546,26.38
2026-08-03 20:00:00,2,0,0,2,26.2106132507324,25.7399997711182,26.3299999237061,23,21,30,10,25.2999992370605,26.8499984741211,0,0,1.48048567771912,0,50,50,50,0,0,25.6838722229004,26.34
2026-08-03 20:15:00,2,0,0,2,26.2261390686035,25.6949996948243,26.3299999237061,23,21,30,10,25.3399991989136,26.8499984741211,0,0,1.48131853342057,0,50,50,50,0,0,25.6565885543823,26.3
2026-08-03 20:30:00,2,0,0,2,26.2530326843262,25.7299995422363,26.3400001525879,23,21,30,10,25.3500003814697,26.8699989318848,0,0,1.48051774501801,0,50,50,50,0,0,25.6270427703857,26.26
2026-08-03 20:45:00,2,0,0,2,26.2627038955689,25.7049989700318,26.3399991989136,23,21,30,10,25.3899993896485,26.8699989318848,0,0,1.47789657115937,0,50,50,50,0,0,25.607177734375,26.22
2026-08-03 21:00:00,2,0,0,2,26.2622566223145,25.6700000762939,26.3499984741211,23,21,30,10,25.4699993133545,26.8699989318848,0,0,1.47889995574951,0,50,50,50,0,0,25.6098823547363,26.18
2026-08-03 21:15:00,2,0,0,2,26.250506401062,25.7249994277954,26.354998588562,23,21,30,10,25.4149990081787,26.8699989318848,0,0,1.48298460245133,0,50,50,50,0,0,25.6081895828247,25.995
